方案商,定位方向,技术路线 / 模型结构,感知方案,优势,潜在短板/难点,典型客户,成本区间
Momenta,打造自动驾驶大脑，数据驱动算法迭代/高阶城市NOA 模块化交付,"BEV + Transformer + OccNet
端到端大模型+数据驱动
MSD（Momenta self driving）支持L2++到L4
Mpilot实现L2/L2+驾驶辅助功能",多传感器融合,"海量数据，量产交付经验；
算法领先、支持模块输出",方案价不低，难下放到中低端车型,上汽集团、通用汽车、奔驰、丰田、比亚迪,¥1.5-2万
HUAWEIinside（华为Hi模式）,"华为与车企共同定义、联合开发；
",采用两段式端到端架构，ADS 3.0中引入GOD大模型进行感知，PDP网络进行决策规划，并加入本能安全网络,多传感器融合，包括摄像头、毫米波雷达和激光雷达,强大的技术研发能力，深厚的ICT背景，提供全栈智能驾驶解决方案,系统复杂度高，对硬件算力要求高，前期投入大,与多家车企合作，如北汽、长安、广汽等,高，中高端车型为主
Bosch+WeRide（博世+文远知行）,自动驾驶技术提供商与Tier 1供应商合作模式,计划于2025年量产两段式端到端方案，后续过渡到一段式端到端方案,主要依赖摄像头、毫米波雷达，计划引入激光雷达以增强感知能力,博世在汽车零部件供应方面的优势与文远知行的自动驾驶技术相结合，具备量产能力和技术积累,未公开,未公开,中等，面向主流车型
Apollo（百度自动驾驶平台）,自动驾驶开放平台提供商,采用两段式端到端架构，感知和决策规划分为两段网络，通过隐式传递和联合训练实现端到端无人驾驶,多传感器融合，强调高精地图与定位,拥有庞大的数据积累和强大的AI能力，开放平台生态丰富,系统复杂度高，对硬件算力要求高，前期投入大,与多家车企合作，如红旗、威马等,中等，面向多种车型
深圳元戎启行,高阶智驾，无图NOA,基于“无图”端到端模型，强调在无高精地图的情况下实现自动驾驶,多传感器融合，侧重于实时感知与决策,在城市复杂场景中表现出色，技术路线适应性强,无高精地图方案在某些场景下可能面临挑战，需要大量数据和训练以确保可靠性,与多家车企合作，如长城汽车等,中等，面向多种车型
地平线,芯片+算法一体平台/BPU架构,"高效卷积网络 + 轻量BEV
L2+量产",视觉优先+低成本雷达,性价比高、低功耗、交付灵活,算法通用性不如Momenta；芯片性能不及Orion,理想、广汽、奇瑞,¥0.8-1.2万
海鸥科技,"BEV跟进快；
轻量型NOA解决方案提供商/专注特定场景",BEV + Transformer,摄像头 + 雷达,快速部署、适配多车型,自研时间较短，长尾能力待验证,合众、广汽等,
毫末智行,注重量产和成本控制、自建数据闭环,MANA大模型 + OccGrid + BEV,视觉和毫米波雷达融合，适合L2+/L3级应用,数据驱动+闭环，大模型,"商业拓展范围局限在长城生态；
NOA落地慢于华为小鹏",魏牌、沙龙等,
纵目科技,专注于自动泊车/传统ADAS / Tier1替代者,摄像头视觉模型 + 规则融合,多摄像头 + 通用雷达,成本控制好、量产交付经验丰富,算法深度/大模型研发相对滞后,日产、本田（合资系）,¥0.3-0.5万
轻舟智航,L4城市道路自动驾驶 / Robotaxi,预测+规划+激光雷达BEV模型,激光+视觉强融合,城市复杂工况经验丰富,量产模型落地路径还不清晰,城市级Robotaxi项目,¥8-12万
Waymo,L4，多传感器+激光雷达,"重传感器+高精地图；
多目标跟踪+意图预测；
模块化分层决策",多摄像头、雷达+激光雷达,高精地图和多冗余传感器，有地图的城市地区表现稳健,"过于依赖高精地图导致泛化能力受限；
Waymo的传感器和计算成本高昂",,
" mobileye",芯片+算法一体化,"L2—>L4
形式化验证+RSS安全模型",“True Redundancy”，即双路径感知：一套纯视觉感知全栈，另一套独立的雷达+激光雷达感知全栈，最终在决策层融合,在视觉感知特别是识别交通标志、车道线方面有深厚积累；,"L4项目进展相对封闭缓慢；
作为供应商需要兼顾通用方案的适配性，性能上不如自研方案调优；在端到端进展相对保守",,
Cruise,Robotaxi自动驾驶方案供应商,模块化堆栈；MLP和CNN结合的预测模型+强化学习微调,多摄像头、雷达+激光雷达,背靠通用汽车，在车辆集成和量产部署上有优势,目前运营区域有限，且主要在温和天气条件下，突发情况或者较差天气下可能表现不稳定。,Robotaxi,
图森未来,"封闭园区
商用车/卡车",,,,,,
主线科技,"封闭园区
商用车/卡车",,,,,,
